Timestamp,Age,Height,Weight,What are your dietary requirement?,Do you have any allergies?,Are you interested in trying new food?,Chicken Rice,Yong Tau Foo,Hokkien Mee,Char Kway Teow,Laksa,Kaya Toast,Chilli Crab,Dim Sum,Nasi Lemak,Ayam Penyet,Otah,Ice Kachang,Curry Puff,Satay,Chendol,Roti Prata,Tandoori Chicken,Chicken Masala,Fish Head Curry,Naan,French Fries,Fried Chicken,Burgers,Pasta,Chawanmushi,Sashimi,Sushi,Ramen,Miso Soup,Korean BBQ,Age_group
14/09/2022 00:08:07,18.0,158.0,50.0,No Beef,None,Yes,Like,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Dislike,Like,Dislike,Dislike,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Young
14/09/2022 00:10:24,16.0,176.0,60.0,None,Grass allergy :(,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
14/09/2022 00:11:39,30.0,158.0,54.0,None,"Yes, but don’t know which ones and only mildly",Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Old
14/09/2022 00:11:46,18.0,181.0,78.0,Halal,None,Yes,Like,Dislike,Dislike,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Dislike,Like,Young
14/09/2022 00:13:01,18.0,152.0,39.0,Vegetarian,None,Yes,Dislike,Dislike,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Like,Like,Dislike,Dislike,Like,Like,Dislike,Dislike,Young
14/09/2022 00:17:55,24.0,173.0,89.0,None,None,Yes,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Old
14/09/2022 00:20:04,17.0,158.0,47.0,None,None,No,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Young
14/09/2022 00:21:34,17.0,168.0,57.0,None,Prawn,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Young
14/09/2022 00:22:17,19.0,166.0,57.0,No Beef,None,Yes,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
14/09/2022 00:24:10,17.0,171.0,63.0,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
14/09/2022 00:27:13,20.0,162.0,67.0,None,None,Yes,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Dislike,Young
14/09/2022 00:28:40,17.0,156.0,53.0,None,None,Yes,Like,Dislike,Like,Like,Like,Dislike,Dislike,Dislike,Like,Like,Dislike,Dislike,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Dislike,Dislike,Dislike,Like,Dislike,Dislike,Young
14/09/2022 00:30:36,18.0,168.0,66.8,no beef and pork,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Dislike,Like,Dislike,Like,Young
14/09/2022 01:15:05,17.0,168.0,49.0,None,Prawn,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Young
14/09/2022 01:53:29,16.0,169.0,52.0,None,None,Yes,Like,Dislike,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
14/09/2022 01:56:42,18.0,161.0,65.0,None,None,No,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Young
14/09/2022 02:02:41,16.0,158.5,46.5,"None, I cannot take spicy food",None,Yes,Like,Like,Like,Like,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Young
14/09/2022 02:18:07,21.0,175.0,57.0,None,None,Yes,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Dislike,Dislike,Dislike,Dislike,Like,Young
14/09/2022 02:18:20,18.0,151.0,50.0,None,None,Yes,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Young
14/09/2022 02:49:41,17.0,184.0,67.0,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Young
14/09/2022 05:03:14,49.0,160.0,47.0,None,None,No,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Old
14/09/2022 05:25:29,48.0,175.0,90.0,None,None,No,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Dislike,Dislike,Dislike,Like,Like,Like,Old
14/09/2022 06:17:10,17.0,153.0,55.0,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
14/09/2022 06:33:55,17.0,163.0,54.0,No Beef,None,Yes,Like,Like,Dislike,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Young
14/09/2022 06:56:47,15.0,180.0,80.0,No Beef,None,Yes,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Dislike,Dislike,Like,Dislike,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Young
14/09/2022 07:18:53,41.0,163.0,65.0,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Old
14/09/2022 07:35:28,49.0,165.0,70.0,None,None,Yes,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Old
14/09/2022 07:44:01,44.0,163.0,55.0,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Old
14/09/2022 07:48:08,43.0,170.0,80.0,"Lactose Intolerance, None","Shellfish, Red Meat (Duck, Beef etc)",Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Old
14/09/2022 07:54:10,50.0,170.0,70.0,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Like,Old
14/09/2022 07:55:43,17.0,168.0,69.8,None,None,Yes,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Like,Like,Like,Like,Like,Young
14/09/2022 08:13:08,46.0,158.0,52.0,Vegetarian,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like,Old
14/09/2022 08:34:03,47.0,158.0,51.0,No Beef,None,Yes,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Dislike,Like,Dislike,Dislike,Like,Like,Dislike,Like,Like,Like,Dislike,Dislike,Like,Old
14/09/2022 08:39:07,17.0,174.0,300.0,None,None,Yes,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
14/09/2022 08:55:16,17.0,177.0,70.0,None,None,Yes,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Young
14/09/2022 09:15:23,17.0,158.0,52.0,Lactose Intolerance,None,Yes,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Young
14/09/2022 09:46:24,23.0,161.0,40.0,None,Eggs,Yes,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Dislike,Like,Dislike,Like,Like,Like,Like,Like,Young
14/09/2022 09:50:29,18.0,178.0,68.0,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
14/09/2022 10:38:25,16.0,160.0,65.0,Gluten Intolerance,None,Yes,Dislike,Like,Dislike,Like,Dislike,Dislike,Like,Like,Dislike,Like,Dislike,Like,Dislike,Like,Dislike,Dislike,Dislike,Like,Dislike,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Dislike,Dislike,Like,Young
